ID,Polski Tytuł,Autor,ISBN,Cykl,Średnia ocena,Liczba ocen,Czytelnicy,Opinie,Ocena użytkownika,Link,Data przeczytania,Na półkach Głowne,Na półkach Pozostałe,Tytuł
4883648,Imperium ciszy,Christopher Ruocchio,9788380625068,Pożeracz słońc (tom 1),"7,2",182,1133,49,,https://lubimyczytac.pl/ksiazka/4883648/imperium-ciszy,,Chcę przeczytać,,Empire of Silence
5095549,Pożar,Craig Alanson,9788367053914,Expeditionary Force (tom 11),"7,4",107,254,12,6,https://lubimyczytac.pl/ksiazka/5095549/pozar,2024-12-11,Przeczytane,,Brushfire
5022292,Baśniowa opowieść,Stephen King,9788367338189,,"7,3",3173,5830,580,,https://lubimyczytac.pl/ksiazka/5022292/basniowa-opowiesc,,Chcę przeczytać,,Fairy Tale
5091650,Droga Cienia,Brent Weeks,9788367793445,Nocny Anioł (tom 1),"7,7",4373,9417,329,,https://lubimyczytac.pl/ksiazka/5091650/droga-cienia,,Chcę przeczytać,,The Way of Shadows
5126665,Szklany tron,Sarah J. Maas,9788383198149,Szklany Tron (tom 1),"7,8",14481,29265,1553,,https://lubimyczytac.pl/ksiazka/5126665/szklany-tron,,Chcę przeczytać,,Throne of Glass
5096331,The Prison Healer. Próby żywiołów,Lynette Noni,9788382655247,The Prison Healer (tom 1),"7,9",781,2505,235,,https://lubimyczytac.pl/ksiazka/5096331/the-prison-healer-proby-zywiolow,,Chcę przeczytać,,The Prison Healer
5096549,Czerwony świt,Pierce Brown,9788367793926,Red Rising (tom 1),"7,5",1267,4757,234,,https://lubimyczytac.pl/ksiazka/5096549/czerwony-swit,,Chcę przeczytać,,Red Rising
4970701,Miasto mosiądzu,S.A. Chakraborty,9788366657410,Dewabad (tom 1),"7,7",1582,4971,225,,https://lubimyczytac.pl/ksiazka/4970701/miasto-mosiadzu,,Chcę przeczytać,,The City of Brass
5169484,Nibynoc,Jay Kristoff,9788368240092,Nibynoc (tom 1),"7,9",2509,7771,309,,https://lubimyczytac.pl/ksiazka/5169484/nibynoc,,Chcę przeczytać,,Nevernight
5079337,Okno skąpane w mroku,Rachel Gillig,9788383208985,Tajemnice Króla Shepherda (tom 1),"7,6",1993,4162,322,,https://lubimyczytac.pl/ksiazka/5079337/okno-skapane-w-mroku,,Chcę przeczytać,,One Dark Window
5084625,Ślepowidzenie,Peter Watts,9788367793346,Ślepowidzenie (tom 1),"7,6",4013,10927,485,,https://lubimyczytac.pl/ksiazka/5084625/slepowidzenie,,Chcę przeczytać,,Blindsight
5089322,Ostrze,Joe Abercrombie,9788367793131,Pierwsze prawo (tom 1),"7,7",3088,7914,332,,https://lubimyczytac.pl/ksiazka/5089322/ostrze,,Chcę przeczytać,,The Blade Itself
193046,Gra Endera,Orson Scott Card,9788378396321,Saga Endera (tom 1),"8,0",11740,20562,905,,https://lubimyczytac.pl/ksiazka/193046/gra-endera,,Chcę przeczytać,,Ender's Game
47826,Czarna Kompania,Glen Cook,8373010718,Czarna Kompania (tom 1),"7,1",1342,3258,124,,https://lubimyczytac.pl/ksiazka/47826/czarna-kompania,,Chcę przeczytać,,The Black company
5064645,Spotkanie z Ramą,Arthur C. Clarke,9788383380131,Rama (tom 1),"7,3",1217,2737,155,,https://lubimyczytac.pl/ksiazka/5064645/spotkanie-z-rama,,Chcę przeczytać,,Rendezvous With Rama
4988209,Wampirze cesarstwo,Jay Kristoff,9788367793384,Wampirze cesarstwo (tom 1),"8,4",1191,3743,240,,https://lubimyczytac.pl/ksiazka/4988209/wampirze-cesarstwo,,Chcę przeczytać,,Empire of the Vampire
5066444,Tancerze burzy,Jay Kristoff,9788383185385,Wojna Lotosowa (tom 1),"7,3",1469,5391,281,,https://lubimyczytac.pl/ksiazka/5066444/tancerze-burzy,,Chcę przeczytać,,Stormdancer
4923601,Dom ziemi i krwi. Część 1,Sarah J. Maas,9788328098480,Księżycowe Miasto (tom 1.1),"7,5",3664,8511,515,,https://lubimyczytac.pl/ksiazka/4923601/dom-ziemi-i-krwi-czesc-1,,Chcę przeczytać,,The House of Earth and Blood
4934877,Początek,Wasilij Machanienko,9788366071032,Droga Szamana (tom 1),"7,6",1997,3926,286,8,https://lubimyczytac.pl/ksiazka/4934877/poczatek,,Przeczytane,,Путь Шамана. Шаг 1: Начало
4999909,Ostatnia bitwa,Dariusz Domagalski,9788367053228,HAJMDAL (tom 6),"7,1",134,229,18,6,https://lubimyczytac.pl/ksiazka/4999909/ostatnia-bitwa,,Przeczytane,,Hajmdal 6: Ostatnia bitwa
4951633,Relikt,Dariusz Domagalski,9788366375680,HAJMDAL (tom 5),"7,0",177,300,21,6,https://lubimyczytac.pl/ksiazka/4951633/relikt,,Przeczytane,,Relikt
4909479,Więzy krwi,Dariusz Domagalski,9788366375260,HAJMDAL (tom 4),"7,1",213,358,24,6,https://lubimyczytac.pl/ksiazka/4909479/wiezy-krwi,,Przeczytane,,Więzy krwi
4869967,Bunt,Dariusz Domagalski,9788365661999,HAJMDAL (tom 3),"6,7",249,402,29,6,https://lubimyczytac.pl/ksiazka/4869967/bunt,,Przeczytane,,Bunt
4863130,Księżyce Monarchy,Dariusz Domagalski,9788365661722,HAJMDAL (tom 2),"6,8",281,450,41,6,https://lubimyczytac.pl/ksiazka/4863130/ksiezyce-monarchy,,Przeczytane,,Księżyce Monarchy
4848454,Początek podróży,Dariusz Domagalski,,HAJMDAL (tom 1),"6,6",363,738,64,6,https://lubimyczytac.pl/ksiazka/4848454/poczatek-podrozy,,Przeczytane,,Początek podróży
4945805,Niebiańska rzeka,Dennis E. Taylor,,Bobiverse (tom 4),"7,1",460,942,73,7,https://lubimyczytac.pl/ksiazka/4945805/niebianska-rzeka,,Przeczytane,,Niebiańska rzeka
