Title,Polish Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Year Published,Original Publication Year,Date Read,Date Added,Shelves,Bookshelves,My Review
Empire of Silence,Imperium ciszy,Christopher Ruocchio,9788380625068,,"7,2",,,,,,,Chcę przeczytać,,
Brushfire,Pożar,Craig Alanson,9788367053914,6,"7,4",,,,,2024-12-11,,Przeczytane,,
Fairy Tale,Baśniowa opowieść,Stephen King,9788367338189,,"7,3",,,,,,,Chcę przeczytać,,
The Way of Shadows,Droga Cienia,Brent Weeks,9788367793445,,"7,7",,,,,,,Chcę przeczytać,,
Throne of Glass,Szklany tron,Sarah J. Maas,9788383198149,,"7,8",,,,,,,Chcę przeczytać,,
The Prison Healer,The Prison Healer. Próby żywiołów,Lynette Noni,9788382655247,,"7,9",,,,,,,Chcę przeczytać,,
Red Rising,Czerwony świt,Pierce Brown,9788367793926,,"7,5",,,,,,,Chcę przeczytać,,
The City of Brass,Miasto mosiądzu,S.A. Chakraborty,9788366657410,,"7,7",,,,,,,Chcę przeczytać,,
Nevernight,Nibynoc,Jay Kristoff,9788368240092,,"7,9",,,,,,,Chcę przeczytać,,
One Dark Window,Okno skąpane w mroku,Rachel Gillig,9788383208985,,"7,6",,,,,,,Chcę przeczytać,,
Blindsight,Ślepowidzenie,Peter Watts,9788367793346,,"7,6",,,,,,,Chcę przeczytać,,
The Blade Itself,Ostrze,Joe Abercrombie,9788367793131,,"7,7",,,,,,,Chcę przeczytać,,
Ender's Game,Gra Endera,Orson Scott Card,9788378396321,,"8,0",,,,,,,Chcę przeczytać,,
The Black company,Czarna Kompania,Glen Cook,8373010718,,"7,1",,,,,,,Chcę przeczytać,,
Rendezvous With Rama,Spotkanie z Ramą,Arthur C. Clarke,9788383380131,,"7,3",,,,,,,Chcę przeczytać,,
Empire of the Vampire,Wampirze cesarstwo,Jay Kristoff,9788367793384,,"8,4",,,,,,,Chcę przeczytać,,
Stormdancer,Tancerze burzy,Jay Kristoff,9788383185385,,"7,3",,,,,,,Chcę przeczytać,,
The House of Earth and Blood,Dom ziemi i krwi. Część 1,Sarah J. Maas,9788328098480,,"7,5",,,,,,,Chcę przeczytać,,
Путь Шамана. Шаг 1: Начало,Początek,Wasilij Machanienko,9788366071032,8,"7,6",,,,,,,Przeczytane,,
Hajmdal 6: Ostatnia bitwa,Ostatnia bitwa,Dariusz Domagalski,9788367053228,6,"7,1",,,,,,,Przeczytane,,
Relikt,Relikt,Dariusz Domagalski,9788366375680,6,"7,0",,,,,,,Przeczytane,,
Więzy krwi,Więzy krwi,Dariusz Domagalski,9788366375260,6,"7,1",,,,,,,Przeczytane,,
Bunt,Bunt,Dariusz Domagalski,9788365661999,6,"6,7",,,,,,,Przeczytane,,
Księżyce Monarchy,Księżyce Monarchy,Dariusz Domagalski,9788365661722,6,"6,8",,,,,,,Przeczytane,,
Początek podróży,Początek podróży,Dariusz Domagalski,,6,"6,6",,,,,,,Przeczytane,,
Niebiańska rzeka,Niebiańska rzeka,Dennis E. Taylor,,7,"7,1",,,,,,,Przeczytane,,
test,Wszystkie te światy,Dennis E. Taylor,,8,"7,4",,,,,,,Przeczytane,,
test,Gdyż jest nas wielu,Dennis E. Taylor,,8,"7,5",,,,,,,Przeczytane,,
test,Wojna makowa,Rebecca F. Kuang,,7,"7,5",,,,,,,Przeczytane,,
test,"Nasze imię Legion, nasze imię Bob",Dennis E. Taylor,,8,"7,4",,,,,,,Przeczytane,,
test,Antykwariat pod salamandrą,Adam Przechrzta,,,"7,3",,,,,,,Chcę przeczytać,,
test,Wstrząsy wtórne,Marko Kloos,,,"7,3",,,,,,,Chcę przeczytać,,
test,Beniamin Ashwood,A. C. Cobble,,6,"6,5",,,,,,,Przeczytane,,
test,Upadek Lewiatana,James S.A. Corey,,,"7,7",,,,,,,Przeczytane,,
test,Gniew Tiamat,James S.A. Corey,,,"7,8",,,,,,,Przeczytane,,
